0.565,2.7362,43180,0,1,0,0
0.6061,2.7869,43675,0,1,0,0
0.823,2.8376,43708,0,1,0,0
1.0326,2.8882,43741,0,1,0,0
1.0514,2.9389,43774,0,1,0,0
1.0688,2.9896,43807,0,1,0,0
1.0898,3.0403,43841,0,1,0,0
1.1104,3.0909,43874,0,1,0,0
1.1215,3.1416,43907,0,1,0,0
1.1338,3.1923,43941,0,1,0,0
1.1432,3.2429,43974,0,1,0,0
1.1583,3.2936,44008,0,1,0,0
1.1723,3.3443,44041,0,1,0,0
1.1889,3.3949,44074,0,1,0,0
1.1965,3.4456,44108,0,1,0,0
1.2158,3.4963,44141,0,1,0,0
1.2299,3.547,44174,0,1,0,0
1.2344,3.5976,44208,0,1,0,0
1.2197,3.6483,44241,0,1,0,0
1.1999,3.699,44275,0,1,0,0
1.1796,3.7496,44308,0,1,0,0
1.167,3.8003,44341,0,1,0,0
1.1362,3.851,44375,0,1,0,0
1.1038,3.9017,44408,0,1,0,0
1.0558,3.9523,44442,0,1,0,0
1.0164,4.003,44475,0,1,0,0
0.9998,4.0537,44508,0,1,0,0
0.9775,4.1043,44542,0,1,0,0
0.9435,4.155,44575,0,1,0,0
0.9097,4.2057,44608,0,1,0,0
0.8614,4.2564,44642,0,1,0,0
0.8165,4.307,44675,0,1,0,0
0.7796,4.3577,44708,0,1,0,0
0.739,4.4084,44742,0,1,0,0
0.7033,4.459,44775,0,1,0,0
0.655,4.5097,44809,0,1,0,0
0.6072,4.5604,44842,0,1,0,0
0.5455,4.611,44875,0,1,0,0
0.4965,4.6617,44909,0,1,0,0
0.4361,4.7124,44942,0,1,0,0
0.3764,4.7631,44975,0,1,0,0
0.323,4.8137,45009,0,1,0,0
0.2687,4.8644,45042,0,1,0,0
0.2085,4.9151,45076,0,1,0,0
0.1494,4.9657,45109,0,1,0,0
0.1144,5.0164,45142,0,1,0,0
0.0702,5.0671,45176,0,1,0,0
0.0313,5.1178,45209,0,1,0,0
-0.0156,5.1684,45242,0,1,0,0
-0.0663,5.2191,45276,0,1,0,0
-0.0978,5.2698,45309,0,1,0,0
-0.1395,5.3204,45343,0,1,0,0
-0.168,5.3711,45376,0,1,0,0
-0.1926,5.4218,45409,0,1,0,0
-0.2162,5.4725,45442,0,1,0,0
-0.2431,5.5231,45476,0,1,0,0
-0.261,5.5738,45509,0,1,0,0
-0.2804,5.6245,45542,0,1,0,0
-0.2829,5.6751,45576,0,1,0,0
-0.2736,5.7258,45609,0,1,0,0
-0.2652,5.7765,45642,0,1,0,0
